Ticker,Close,San,Date Time
JVC,3.18,HOSE,20231103
KBC,28.45,HOSE,20231103
KCB,7.8,UPCOM,20231103
KDC,63.0,HOSE,20231103
KDH,29.2,HOSE,20231103
KDM,19.0,HNX,20231103
KGM,9.3,UPCOM,20231103
KHD,6.5,UPCOM,20231103
KHG,5.54,HOSE,20231103
KHL,0.8,UPCOM,20231103
KHP,8.7,HOSE,20231103
KHS,10.8,HNX,20231103
KKC,6.5,HNX,20231103
KLB,11.7,UPCOM,20231103
KMR,3.57,HOSE,20231103
KOS,38.5,HOSE,20231103
KPF,4.8,HOSE,20231103
KSB,23.0,HOSE,20231103
KSF,40.0,HNX,20231103
KSH,0.7,UPCOM,20231103
KSQ,2.0,HNX,20231103
KST,12.0,HNX,20231103
KSV,34.0,HNX,20231103
KTS,34.5,HNX,20231103
KTT,3.4,HNX,20231103
KVC,2.2,UPCOM,20231103
L10,23.45,HOSE,20231103
L12,5.2,UPCOM,20231103
L14,39.7,HNX,20231103
L18,31.1,HNX,20231103
L43,5.2,HNX,20231103
L44,0.6,UPCOM,20231103
L45,3.2,UPCOM,20231103
L62,3.3,HNX,20231103
L63,4.6,UPCOM,20231103
LAF,12.8,HOSE,20231103
LAS,12.6,HNX,20231103
LBE,15.5,HNX,20231103
LBM,47.7,HOSE,20231103
LCG,11.15,HOSE,20231103
LCM,2.7,UPCOM,20231103
LCS,0.8,UPCOM,20231103
LDG,3.64,HOSE,20231103
LDP,16.0,HNX,20231103
LEC,7.02,HOSE,20231103
LGL,3.93,HOSE,20231103
LHC,52.5,HNX,20231103
LHG,28.3,HOSE,20231103
LIC,15.9,UPCOM,20231103
LIG,3.8,HNX,20231103
LKW,30.5,UPCOM,20231103
LLM,8.7,UPCOM,20231103
LM3,2.5,UPCOM,20231103
LM7,2.5,UPCOM,20231103
LMH,3.0,UPCOM,20231103
LO5,1.1,UPCOM,20231103
LPB,15.25,HOSE,20231103
LPT,6.7,UPCOM,20231103
LQN,2.5,UPCOM,20231103
LSG,12.2,UPCOM,20231103
LSS,10.9,HOSE,20231103
LTC,3.8,UPCOM,20231103
LTG,22.9,UPCOM,20231103
LUT,1.0,UPCOM,20231103
MAC,9.9,HNX,20231103
MBB,17.4,HOSE,20231103
MBG,4.0,HNX,20231103
MBS,18.4,HNX,20231103
MCF,8.3,HNX,20231103
MCG,2.4,UPCOM,20231103
MCH,72.8,UPCOM,20231103
MCM,37.4,UPCOM,20231103
MCO,3.8,HNX,20231103
MCP,34.0,HOSE,20231103
MDC,10.5,HNX,20231103
MDF,8.8,UPCOM,20231103
MDG,14.9,HOSE,20231103
MFS,29.0,UPCOM,20231103
MGC,5.5,UPCOM,20231103
MGG,26.4,UPCOM,20231103
MGR,6.8,UPCOM,20231103
MH3,34.5,UPCOM,20231103
MHC,8.17,HOSE,20231103
MIC,14.0,UPCOM,20231103
MIE,7.5,UPCOM,20231103
MIG,16.45,HOSE,20231103
MKP,25.7,UPCOM,20231103
MLS,11.0,UPCOM,20231103
MML,25.6,UPCOM,20231103
MPC,17.2,UPCOM,20231103
MPT,0.6,UPCOM,20231103
MSB,13.3,HOSE,20231103
MSH,36.2,HOSE,20231103
MSN,63.9,HOSE,20231103
MSR,14.3,UPCOM,20231103
MST,4.8,HNX,20231103
MTA,3.9,UPCOM,20231103
MTC,6.6,UPCOM,20231103
MTL,4.4,UPCOM,20231103
MTV,14.0,UPCOM,20231103
MVC,11.3,UPCOM,20231103
MVN,17.3,UPCOM,20231103
MWG,38.95,HOSE,20231103
NAB,14.3,UPCOM,20231103
NAF,14.9,HOSE,20231103
NAG,9.6,HNX,20231103
NAS,29.9,UPCOM,20231103
NAV,15.5,HOSE,20231103
NBB,20.2,HOSE,20231103
NBC,10.9,HNX,20231103
NBE,11.6,UPCOM,20231103
NBP,14.5,HNX,20231103
NBT,13.0,UPCOM,20231103
NBW,22.7,HNX,20231103
NCT,87.2,HOSE,20231103
ND2,30.0,UPCOM,20231103
NDN,9.5,HNX,20231103
NDP,21.0,UPCOM,20231103
NDT,6.1,UPCOM,20231103
NDX,6.4,HNX,20231103
NED,4.7,UPCOM,20231103
NET,57.8,HNX,20231103
NGC,2.5,UPCOM,20231103
NHA,15.7,HOSE,20231103
NHH,19.7,HOSE,20231103
NHP,0.5,UPCOM,20231103
NHT,11.85,HOSE,20231103
NHV,1.2,UPCOM,20231103
NJC,18.5,UPCOM,20231103
NKG,19.25,HOSE,20231103
NLG,32.0,HOSE,20231103
NNC,21.0,HOSE,20231103
NO1,8.87,HOSE,20231103
NOS,0.9,UPCOM,20231103
NRC,4.9,HNX,20231103
NSC,69.6,HOSE,20231103
NSH,4.7,HNX,20231103
NSL,20.0,UPCOM,20231103
NST,7.6,HNX,20231103
NT2,23.45,HOSE,20231103
NTB,0.5,UPCOM,20231103
NTC,184.0,UPCOM,20231103
NTH,55.9,HNX,20231103
NTL,23.9,HOSE,20231103
NTP,37.4,HNX,20231103
NTT,7.0,UPCOM,20231103
NTW,16.1,UPCOM,20231103
NVB,10.3,HNX,20231103
NVL,14.55,HOSE,20231103
NVT,8.08,HOSE,20231103
NWT,5.0,UPCOM,20231103
NXT,14.1,UPCOM,20231103
OCB,13.9,HOSE,20231103
OCH,6.9,HNX,20231103
ODE,43.6,UPCOM,20231103
OGC,7.22,HOSE,20231103
OIL,10.2,UPCOM,20231103
ONE,5.3,HNX,20231103
OPC,23.0,HOSE,20231103
